full_name	trader_first_name	trader_last_name
Da Xiaomai	Da	Xiaomai
Xiao Yumi	Xiao	Yumi
Shi Guzi	Shi	Guzi
Gan Gaoliang	Gan	Gaoliang
Zang Damai	Zang	Damai
Jing Shuidao	Jing	Shuidao
Kuaile Dadou	Kuaile	Dadou
Xingyun Huasheng	Xingyun	Huasheng
Hong Hong Xiaodou	Hong Hong	Xiaodou
Cheng Youcai Zi	Cheng Youcai	Zi
Huang Zhima	Huang	Zhima
Lu Xiangrikui	Lu	Xiangrikui
Lan Dasuan	Lan	Dasuan
Zi Da Baicai	Zi Da	Baicai
Ben Dacong	Ben	Dacong
Congming Qiezi	Congming	Qiezi
Changkai Fanqie	Changkai	Fanqie
Gao Huanggua	Gao	Huanggua
Ai Bocai	Ai	Bocai
Pang Pingguo	Pang	Pingguo
Shou Li	Shou	Li
Duomao Malingshu	Duomao	Malingshu
Tu Ganshu	Tu	Ganshu
Chou Mianhua	Chou	Mianhua
Mei Xigua	Mei	Xigua
Da Jiucai	Da	Jiucai
Xiao Luobo	Xiao	Luobo
